Tester,Site type,Name of Sampling Location,7 day average of SARS-CoV-2 concentration,Number of samples in the last 7 days,SARS-CoV-2 Detected,Sample collection date,Units (measuring concentration),City of sampling location,State of sampling location,County of sampling location,Date data last updated,Week Start Date,Week End Date,Group,Subgroup,Estimated population,Percent of the population,Week case rate,Cumulative cases,Cumulative case rate,Deaths during this week,Week death rate,Cumulative deaths,Cumulative death rate,Confirmed deaths,Confirmed cases,County,Population,Cases during this week_y,Cumulative confirmed cases,Cumulative tests,Tests during the week,Positive tests the week,Week percent positivity,Weekly case rate,Weekly testing rate
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Age,20-34 years,1510757.646,0.214904052,27.337276835466703,7845.0,519.2758759666738,0,0.0,3,0.198575860790315,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Age,35-49 years,1307950.041,0.186054834,28.51790881208436,7123.0,544.5926661353268,0,0.0,5,0.3822775980172166,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Age,50-64 years,1444570.402,0.20548897,33.020197516133244,9096.0,629.6681689868931,0,0.0,24,1.6613935857173958,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Age,65-79 years,899365.7143,0.127934045,64.60108393749562,10547.0,1172.7153739909918,4,0.4447578928571126,122,13.565115732141935,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Age,80+ years,301697.9003,0.042916282,145.1783388497119,7349.0,2435.8803931656003,15,4.971860919510682,280,92.80807049753273,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,SESD-Peabody Metering Station,718839.1352763423,4,Detected,2023-11-18,copies/L,Salem,MA,Essex,2024-02-29,2023-11-12,2023-11-18,Age,Unknown age,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,17.0,1970.0,Essex,809829.0011,273.0,4302.0,53474.0,3851.0,298.0,0.0773824980524539,33.71082038667187,475.53248831162415
BioBot,Municipal,MWRA Southern,1641252.0196490625,7,Detected,2023-12-19,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Lynn WWTF,407959.367262232,4,Detected,2023-11-02,copies/L,Lynn,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Uxbridge WWTF,1118056.3003129836,3,Detected,2024-01-24,copies/L,Uxbridge,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Hadley WWTP,551441.9196899096,2,Detected,2023-10-26,copies/L,Chicopee,MA,Hampden,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Southern,851031.6244280429,7,Detected,2023-10-03,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,SESD-Peabody Metering Station,2008507.4766930868,4,Detected,2024-01-31,copies/L,Salem,MA,Essex,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,South Hadley Div. of WPC,1891740.0047620758,4,Detected,2024-02-12,copies/L,Chicopee,MA,Hampden,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Southern,1011357.0617737833,7,Detected,2024-01-30,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,424736.9390333334,3,Detected,2023-07-27,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Whitman,1315960.977219014,4,Detected,2023-08-24,copies/L,Brockton,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,739927.7499923179,7,Detected,2023-09-12,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Fitchburg Public Works,917157.7484728517,4,Detected,2023-11-22,copies/L,Fitchburg,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,MWRA Northern,538938.7475743861,3,Detected,2023-08-10,copies/L,Winthrop,MA,Suffolk,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Fitchburg Public Works,694705.1856181899,4,Detected,2023-11-09,copies/L,Fitchburg,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Amherst WWTP,296234.5302051385,2,Detected,2023-08-24,copies/L,Hadley,MA,Hampshire,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Whitman,630691.5143038036,4,Detected,2023-08-09,copies/L,Brockton,MA,Plymouth,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
BioBot,Municipal,Upper Blackstone Clean Water,883003.5559217493,4,Detected,2023-08-23,copies/L,Worcester,MA,Worcester,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,
